Model,Curve,x,y
Logistic Regression,ROC,0.46620689655172415,0.80392156862745101
Logistic Regression,ROC,0.47999999999999998,0.80392156862745101
Logistic Regression,ROC,0.47999999999999998,0.82352941176470584
Logistic Regression,ROC,0.4882758620689655,0.82352941176470584
Logistic Regression,ROC,0.4882758620689655,0.86274509803921573
Logistic Regression,ROC,0.53241379310344827,0.86274509803921573
Logistic Regression,ROC,0.53241379310344827,0.88235294117647056
Logistic Regression,ROC,0.55724137931034479,0.88235294117647056
Logistic Regression,ROC,0.55724137931034479,0.90196078431372551
Logistic Regression,ROC,0.59310344827586203,0.90196078431372551
Logistic Regression,ROC,0.59310344827586203,0.92156862745098034
Logistic Regression,ROC,0.61379310344827587,0.92156862745098034
Logistic Regression,ROC,0.61379310344827587,0.94117647058823528
Logistic Regression,ROC,0.6151724137931035,0.94117647058823528
Logistic Regression,ROC,0.6151724137931035,0.96078431372549022
Logistic Regression,ROC,0.7158620689655173,0.96078431372549022
Logistic Regression,ROC,0.7158620689655173,0.98039215686274506
Logistic Regression,ROC,0.7255172413793104,0.98039215686274506
Logistic Regression,ROC,0.7255172413793104,1
Logistic Regression,ROC,0.80827586206896551,1
Logistic Regression,ROC,0.81103448275862067,1
Logistic Regression,ROC,1,1
Logistic Regression,PR,1,0.065721649484536085
Logistic Regression,PR,1,0.06580645161290323
Logistic Regression,PR,1,0.06589147286821706
Logistic Regression,PR,1,0.065976714100905567
Logistic Regression,PR,1,0.066062176165803108
Logistic Regression,PR,1,0.066147859922178989
Logistic Regression,PR,1,0.066233766233766228
Logistic Regression,PR,1,0.066319895968790635
Logistic Regression,PR,1,0.06640625
Logistic Regression,PR,1,0.066492829204693613
Logistic Regression,PR,1,0.066579634464751958
Logistic Regression,PR,1,0.066666666666666666
Logistic Regression,PR,1,0.066753926701570682
Logistic Regression,PR,1,0.066841415465268672
Logistic Regression,PR,1,0.066929133858267723
Logistic Regression,PR,1,0.067017082785808146
Logistic Regression,PR,1,0.067105263157894737
Logistic Regression,PR,1,0.067193675889328064
Logistic Regression,PR,1,0.067282321899736153
Logistic Regression,PR,1,0.067371202113606338
Logistic Regression,PR,1,0.067460317460317457
Logistic Regression,PR,1,0.067549668874172186
Logistic Regression,PR,1,0.067639257294429711
Logistic Regression,PR,1,0.067729083665338641
Logistic Regression,PR,1,0.067819148936170207
Logistic Regression,PR,1,0.067909454061251665
Logistic Regression,PR,1,0.068000000000000005
Logistic Regression,PR,1,0.068090787716955939
Logistic Regression,PR,1,0.068181818181818177
Logistic Regression,PR,1,0.068273092369477914
Logistic Regression,PR,1,0.068364611260053623
Logistic Regression,PR,1,0.068456375838926178
Logistic Regression,PR,1,0.068548387096774188
Logistic Regression,PR,1,0.068640646029609689
Logistic Regression,PR,1,0.068733153638814021
Logistic Regression,PR,1,0.068825910931174086
Logistic Regression,PR,1,0.068918918918918923
Logistic Regression,PR,1,0.069012178619756434
Logistic Regression,PR,1,0.06910569105691057
Logistic Regression,PR,1,0.069199457259158756
Logistic Regression,PR,1,0.069293478260869568
Logistic Regression,PR,1,0.069387755102040816
Logistic Regression,PR,1,0.069482288828337874
Logistic Regression,PR,1,0.069577080491132329
Logistic Regression,PR,1,0.069672131147540978
Logistic Regression,PR,1,0.069767441860465115
Logistic Regression,PR,1,0.069863013698630141
Logistic Regression,PR,1,0.069958847736625515
Logistic Regression,PR,1,0.070054945054945056
Logistic Regression,PR,1,0.070151306740027508
Logistic Regression,PR,1,0.070247933884297523
Logistic Regression,PR,1,0.070344827586206901
Logistic Regression,PR,1,0.070441988950276244
Logistic Regression,PR,1,0.070539419087136929
Logistic Regression,PR,1,0.070637119113573413
Logistic Regression,PR,1,0.070735090152565877
Logistic Regression,PR,1,0.070833333333333331
Logistic Regression,PR,1,0.070931849791376914
Logistic Regression,PR,1,0.071030640668523673
Logistic Regression,PR,1,0.071129707112970716
Logistic Regression,PR,1,0.071229050279329603
Logistic Regression,PR,1,0.071328671328671323
Logistic Regression,PR,1,0.071428571428571425
Logistic Regression,PR,1,0.071528751753155678
Logistic Regression,PR,1,0.071629213483146062
Logistic Regression,PR,1,0.071729957805907171
Logistic Regression,PR,1,0.071830985915492959
Logistic Regression,PR,1,0.071932299012693934
Logistic Regression,PR,1,0.072033898305084748
Logistic Regression,PR,1,0.072135785007072142
Logistic Regression,PR,1,0.072237960339943341
Logistic Regression,PR,1,0.072340425531914887
Logistic Regression,PR,1,0.072443181818181823
Logistic Regression,PR,1,0.07254623044096728
Logistic Regression,PR,1,0.072649572649572655
Logistic Regression,PR,1,0.072753209700427965
